Summer 2010 [Final],OCR,GCSE, Engineering:Impact of Modern Technologies on Engineering (Examined Unit):Written Paper  ,A624/02,1h 00m ,20 May 2010, Thursday pm  
Summer 2010 [Final],OCR,GCE, History:Historical Investigations 1799-1955:P 1 Stalin &amp; Development of Cold War in Europe 1941-55  ,2589/17,1h 30m ,16 June 2010, Wednesday pm  
Summer 2010 [Final],AQA,GCSE, Health and Social Care (Double Award) Unit 1(New Specification)  ,48201,1h 15m ,17 June 2010, Thursday am  
Summer 2010 [Final],AQA,GCSE, Health and Social Care Unit 1(New Specification)  ,48201,1h 15m ,17 June 2010, Thursday am  
Summer 2010 [Final],Edexcel,GCSE, RELIGIOUS STUDIES JUDAISM  ,5583 01,2h 00m ,8 June 2010, Tuesday pm  
Summer 2010 [Final],OCR,GCSE, Religious Studies A Short Course - Islam:Paper 6  ,2396/01,1h 00m ,8 June 2010, Tuesday pm  
Summer 2010 [Final],WJEC,GCSE, Religious Studies Spec B Paper 2 - Human (Units 1-5)  (Legacy)  ,20604,1h 50m ,8 June 2010, Tuesday pm  
Summer 2010 [Final],Edexcel,GCSE, RELIGIOUS STUDIES BUDDHISM  ,5589 01,2h 00m ,8 June 2010, Tuesday pm  
Summer 2010 [Final] Changed,OCR,GCSE, Religious Studies A - Hinduism:Paper 5  ,2305/01,1h 30m ,8 June 2010, Tuesday pm  
Summer 2010 [Final],Edexcel,GCSE, RELIGIOUS STUDIES HINDUISM  ,5586 01,1h 30m ,8 June 2010, Tuesday pm  
Summer 2010 [Final],Edexcel,GCSE, RELIGIOUS STUDIES BUDDHISM  ,5RS15,1h 30m ,8 June 2010, Tuesday pm  
Summer 2010 [Final],CCEA,GCE, Religious Studies A2 8  ,AR281,2h 00m ,9 June 2010, Wednesday am  
Summer 2010 [Final],Edexcel,GCE, RELIGIOUS STUDIES 2: INVESTIGATIONS  ,6RS02,1h 15m ,9 June 2010, Wednesday am  
Summer 2010 [Final],CCEA,GCE, Religious Studies A2 6  ,AR261,2h 00m ,9 June 2010, Wednesday am  
March 2010 [Final],CCEA,GCSE," Science: Road,Safety, R'Act (H)  ",GSC62,0h 45m ,26 February 2010, Friday am  
March 2010 [Final],CCEA,GCSE," Science: Road, Safety, R'Act (F)  ",GSC61,0h 45m ,26 February 2010, Friday am  
March 2010 [Final],AQA,GCSE, Chemistry OT-screen based  ,CH1BSH,30m    ,3 March 2010, Wednesday am  
March 2010 [Final],AQA,GCSE, Biology OT-paper based  ,BLY1BP,30m    ,3 March 2010, Wednesday am  
March 2010 [Final],AQA,GCSE, Biology OT-screen based  ,BL1ASF,30m    ,3 March 2010, Wednesday am  
March 2010 [Final],AQA,GCSE, Physics OT-screen based  ,PH1BSF,30m    ,3 March 2010, Wednesday am  
March 2010 [Final],AQA,GCSE, Chemistry OT-screen based  ,CH1ASH,30m    ,3 March 2010, Wednesday am  
March 2010 [Final],AQA,GCSE, Biology OT-paper based  ,BLY1AP,30m    ,3 March 2010, Wednesday am  
March 2010 [Final],AQA,GCSE, Biology OT-screen based  ,BL1BSH,30m    ,3 March 2010, Wednesday am  
March 2010 [Final],AQA,GCSE, Physics OT-screen based  ,PH1ASH,30m    ,3 March 2010, Wednesday am  
Summer 2011 [Final] Changed,OCR,GCE, Mathematics:Decision Mathematics 2:Written Paper  ,4737/01,1h 30m ,20 May 2011, Friday pm  
Summer 2011 [Final],Edexcel,GCE, Mathematics: Decision Mathematics D1  ,6689 01,1h 30m ,20 May 2011, Friday pm  
Summer 2011 [Final] Changed,OCR,GCE, Mathematics:Decision Mathematics 1:Written Paper  ,4736/01,1h 30m ,26 May 2011, Thursday am  
Summer 2011 [Final],Edexcel,GCE, Mathematics: Decision Mathematics D2  ,6690 01,1h 30m ,13 June 2011, Monday am  
Summer 2011 [Final] Changed,OCR,GCE, Mathematics:MEI Decision Mathematics 1:Written Paper  ,4771/01,1h 30m ,22 June 2011, Wednesday am  
Summer 2011 [Final] Changed,OCR,GCE, Mathematics:MEI Decision Mathematics 2:Written Paper  ,4772/01,1h 30m ,23 June 2011, Thursday am  
Summer 2011 [Final],OCR,GCE, Mathematics:MEI Decision Mathematics Computation:Written Paper  ,4773/01,2h 30m ,24 June 2011, Friday pm  
January 2013 [Provisional],WJEC,GCSE, Science A: Physics 1 Foundation (New Specification)  ,446301,1h     ,17 January 2013, Thursday pm  
January 2013 [Provisional],WJEC,GCSE, Science A: Physics 1 Higher (New Specification)  ,446302,1h     ,17 January 2013, Thursday pm  
Summer 2010 [Final],CCEA,GCSE, Mathematics Calc (H)  ,GMN62,1h 15m ,7 June 2010, Monday pm  
Summer 2010 [Final],CCEA,GCSE, Mathematics Non Calc (H)  ,GMN61,1h 15m ,7 June 2010, Monday pm  
January 2012 [Final],CCEA,GCE, *Applied Health &amp; Social Care Unit 9  ,A6H31,2h 00m ,19 January 2012, Thursday am  
January 2012 [Final],Edexcel,GCE, HEALTH AND SOCIAL CARE: MEETING INDIVIDUAL NEEDS  ,6944 01,1h 30m ,19 January 2012, Thursday am  
January 2012 [Final],OCR,GCE, Health and Social Care:Caring for older people:Written Paper  ,F918/01,1h 30m ,19 January 2012, Thursday am  
January 2012 [Final],AQA,GCE, Applied Health and Social Care 12  ,HC12,2h     ,19 January 2012, Thursday am  
January 2012 [Final],Edexcel,GCE, HEALTH AND SOCIAL CARE: HUMAN BEHAVIOUR  ,6949 01,1h 30m ,25 January 2012, Wednesday am  
January 2012 [Final],CCEA,GCE, *Applied Health &amp; Social Care Unit 12  ,A6H61,2h 00m ,25 January 2012, Wednesday am  
January 2012 [Final],AQA,GCE, Applied Health and Social Care 13  ,HC13,2h     ,25 January 2012, Wednesday am  
January 2012 [Final],OCR,GCE, Health and Social Care:Understanding human behaviour and development:Written Paper  ,F920/01,1h 30m ,25 January 2012, Wednesday am  
January 2012 [Final],Edexcel,GCSE, UNDERSTANDING PERSONAL DEVELOPMENT AND RELATIONSHIPS  ,5HS01,1h 15m ,25 January 2012, Wednesday pm  
January 2012 [Final],OCR,GCSE, Health and Social Care:Understanding Personal Development and Relationships:Written Paper  ,A912/01,1h 00m ,25 January 2012, Wednesday pm  
January 2010 [Final],AQA,GCE, English Literature B 5  ,LTB5,2h     ,18 January 2010, Monday pm  
January 2010 [Final],AQA,GCE, Law 3 (New Specification)  ,LAW03,1h 30m ,28 January 2010, Thursday am  
Summer 2011 [Final],AQA,GCSE, Religious Studies A Unit 10 (New Specification)  ,405010,1h 30m ,17 May 2011, Tuesday pm  
Summer 2011 [Final],AQA,GCSE, Religious Studies A Unit 12 (New Specification)  ,405012,1h 30m ,17 May 2011, Tuesday pm  
Summer 2011 [Final],AQA,GCSE, Religious Studies A Unit 1(New Specification)  ,405001,1h 30m ,17 May 2011, Tuesday pm  
Summer 2011 [Final],AQA,GCSE, Religious Studies A Unit 9 (New Specification)  ,405009,1h 30m ,17 May 2011, Tuesday pm  
Summer 2011 [Final],AQA,GCSE, Religious Studies A Unit 3 (New Specification)  ,405003,1h 30m ,17 May 2011, Tuesday pm  
Summer 2011 [Final],AQA,GCSE, Religious Studies A Unit 11 (New Specification)  ,405011,1h 30m ,23 May 2011, Monday am  
Summer 2011 [Final],AQA,GCSE, Religious Studies A Unit 13 (New Specification)  ,405013,1h 30m ,23 May 2011, Monday am  
Summer 2011 [Final],AQA,GCSE, Religious Studies A Unit 8 (New Specification)  ,405008,1h 30m ,23 May 2011, Monday am  
Summer 2011 [Final],AQA,GCSE, Religious Studies A Unit 4 (New Specification)  ,405004,1h 30m ,23 May 2011, Monday am  
Summer 2011 [Final],AQA,GCSE, Religious Studies A Unit 2 (New Specification)  ,405002,1h 30m ,23 May 2011, Monday am  
January 2012 [Final],CCEA,GCE, Chemistry A2 1  ,AC212,2h 00m ,26 January 2012, Thursday pm  
January 2012 [Final],OCR,GCE, Chemistry:Chemistry of Materials:Written Paper  ,F334/01,1h 30m ,26 January 2012, Thursday pm  
January 2012 [Final],OCR,GCE," Chemistry:Rings, Polymers and Analysis:Written Paper  ",F324/01,1h 15m ,26 January 2012, Thursday pm  
January 2012 [Final],CCEA,GCE, Chemistry A2 1 (MC)  ,AC211,2h 00m ,26 January 2012, Thursday pm  
January 2012 [Final],OCR,GCE, Chemistry:Chemistry by Design:Written Paper  ,F335/01,2h 00m ,1 February 2012, Wednesday am  
January 2012 [Final],OCR,GCE," Chemistry:Equilibria, Energetics and Elements:Written Paper  ",F325/01,2h 00m ,1 February 2012, Wednesday am  
January 2012 [Final],OCR,GCSE," Chemistry B: Unit 2 (C4, C5, C6) Higher  ",B642/02,1h 00m ,1 February 2012, Wednesday pm  
January 2012 [Final],OCR,GCSE," Chemistry A: Unit 2 (C4, C5, C6) Foundation  ",A322/01,0h 40m ,1 February 2012, Wednesday pm  
January 2012 [Final],OCR,GCSE," Chemistry A: Unit 2 (C4, C5, C6) Higher  ",A322/02,0h 40m ,1 February 2012, Wednesday pm  
January 2012 [Final],OCR,GCSE," Chemistry B: Unit 2 (C4, C5, C6) Foundation  ",B642/01,1h 00m ,1 February 2012, Wednesday pm  
January 2009 [Final],OCR,GCE, General Studies:The Scientific and Cultural Domains:Written Paper  ,2965/01,1h 30m ,22 January 2009, Thursday pm  
January 2009 [Final],Edexcel,GCE, GENERAL STUDIES CULTURAL EXPRESSIONS (WRT)  ,6454 01,1h 30m ,22 January 2009, Thursday pm  
January 2009 [Final],AQA,GCE, General Studies A 4/1 - Spanish OT  ,GA4S/1,1h 30m ,22 January 2009, Thursday pm  
January 2009 [Final],AQA,GCE, General Studies A 4/1 - German OT  ,GA4G/1,1h 30m ,22 January 2009, Thursday pm  
January 2009 [Final],AQA,GCE, General Studies A 4/2 Written    ,GSA4/2,0h 00m ,22 January 2009, Thursday pm  
January 2009 [Final],AQA,GCE, General Studies A 5/1 OT  ,GSA5/1,1h 30m ,22 January 2009, Thursday pm  
January 2009 [Final],AQA,GCE, General Studies A 4/1 - French OT  ,GA4F/1,1h 30m ,22 January 2009, Thursday pm  
January 2009 [Final],AQA,GCE, General Studies B 5 Written  ,GSB5,1h 15m ,22 January 2009, Thursday pm  
Summer 2009 [Final],AQA,GCE, Communication Studies 3 Written  ,CMS3,1h 30m ,1 June 2009, Monday pm  
Summer 2009 [Final],AQA,GCE, Communication Studies 2 Written  ,CMS2,1h 30m ,1 June 2009, Monday pm  
Summer 2009 [Final],AQA,GCE, Communication Studies 5 Written  ,CMS5,1h 30m ,8 June 2009, Monday pm  
Summer 2009 [Final],AQA,GCE, Communication Studies 6 Written  ,CMS6,2h 00m ,11 June 2009, Thursday am  
January 2011 [Final],OCR,GCE, Mathematics:MEI Mechanics 2:Written Paper  ,4762/01,1h 30m ,10 January 2011, Monday am  
January 2011 [Final],OCR,GCE, Mathematics:Mechanics 2:Written Paper  ,4729/01,1h 30m ,10 January 2011, Monday am  
January 2011 [Final],Edexcel,GCE, MATHEMATICS: MECHANICS M1  ,6677 01,1h 30m ,19 January 2011, Wednesday pm  
January 2011 [Final],CCEA,GCE, Mechanics M1  ,AMM11,1h 30m ,19 January 2011, Wednesday pm  
January 2011 [Final],OCR,GCE, Mathematics:Mechanics 3:Written Paper  ,4730/01,1h 30m ,24 January 2011, Monday am  
January 2011 [Final],OCR,GCE, Mathematics:Mechanics 1:Written Paper  ,4728/01,1h 30m ,24 January 2011, Monday am  
January 2011 [Final],OCR,GCE, Mathematics:MEI Mechanics 3:Written Paper  ,4763/01,1h 30m ,26 January 2011, Wednesday pm  
January 2011 [Final],OCR,GCE, Mathematics:MEI Mechanics 1:Written Paper  ,4761/01,1h 30m ,26 January 2011, Wednesday pm  
January 2011 [Final],Edexcel,GCE, MATHEMATICS: MECHANICS M2  ,6678 01,1h 30m ,28 January 2011, Friday am  
January 2011 [Final],Edexcel,GCE, MATHEMATICS: MECHANICS M3  ,6679 01,1h 30m ,28 January 2011, Friday am  
January 2010 [Final],AQA,GCE, Law 1 (New Specification)  ,LAW01,1h 30m ,14 January 2010, Thursday am  
Summer 2010 [Final],AQA,GCE, Media Studies 1  ,MEST1,2h     ,9 June 2010, Wednesday pm  
Summer 2010 [Final],AQA,GCE, Media Studies 3  ,MEST3,2h     ,15 June 2010, Tuesday am  
Summer 2010 [Final],OCR,GCSE, Media Studies:Textual Analysis and Media Studies Topic (Moving Image):Written Paper  ,B322/01,1h 45m ,25 June 2010, Friday am  
Summer 2010 [Final],OCR,GCSE, Media Studies:Textual Analysis and Media Studies Topic (Print):Written Paper  ,B323/01,1h 45m ,25 June 2010, Friday am  
Summer 2011 [Final],CCEA,GCSE, Journalism Unit 1  ,GJR11,1h 30m ,8 June 2011, Wednesday pm  
Summer 2012 [Final],OCR,GCSE," Citizenship:Identity, Democracy and Justice- Understanding our Role as Citizens:CBT  ",A342/01,1h 00m ,16 May 2012, Wednesday am  
Summer 2012 [Final],OCR,GCSE," Citizenship:Identity, Democracy and Justice- Understanding our Role as Citizens:Written  ",A342/02,1h 00m ,16 May 2012, Wednesday am  
Summer 2012 [Final],OCR,GCSE, Citizenship:Rights and Responsibilities- Extending our Knowledge and Understanding:Written  ,A343/01,1h 00m ,21 May 2012, Monday pm  
Summer 2009 [Final],AQA,GCE, German 1 Listening  Reading and Writing    ,GR01,1h 30m ,15 May 2009, Friday pm  
Summer 2009 [Final],WJEC,GCSE, German Listening Higher  ,16306,45m    ,22 May 2009, Friday am  
Summer 2009 [Final],CCEA,GCSE, German 1 (Foundation Tier)  ,G4201,0h 35m ,22 May 2009, Friday am  
Summer 2009 [Final],OCR,GCSE, German:Reading (Higher)  ,2363/02,0h 50m ,22 May 2009, Friday am  
Summer 2009 [Final],AQA,GCSE, German B (Modular) Listening Test    ,46604/LH,0h 30m ,22 May 2009, Friday am  
Summer 2009 [Final],WJEC,GCSE, German Listening Foundation  ,16302,35m    ,22 May 2009, Friday am  
Summer 2009 [Final],AQA,GCSE, German (Listening)    ,3661/LF,0h 35m ,22 May 2009, Friday am  
Summer 2009 [Final],Edexcel,GCSE, GERMAN READING FOUNDATION  ,1231 3F,0h 40m ,22 May 2009, Friday am  
Summer 2009 [Final],AQA,GCSE, German B (Modular) Listening Test    ,46604/LF,0h 30m ,22 May 2009, Friday am  
Summer 2009 [Final],AQA,GCSE, German (Short Course) Listening Listening    ,3667/LH,0h 30m ,22 May 2009, Friday am  
Summer 2011 [Final] Changed,AQA,GCSE, Information and Communication Technology Unit 1 (Short Course) (New Specification) - paper based  ,45204,1h     ,16 June 2011, Thursday pm  
Summer 2011 [Final] Changed,AQA,GCSE, Information and Communication Technology Unit 1 (Short Course) (New Specification) - on screen  ,45204S,1h     ,16 June 2011, Thursday pm  
Summer 2009 [Final],OCR,GCSE, Business Studies A:Paper 8 - Case Study (Higher)  ,1951/08,1h 30m ,22 May 2009, Friday am  
Summer 2009 [Final],AQA,GCSE, Business Studies B Written  ,3133/9/1H,1h 15m ,22 May 2009, Friday am  
Summer 2009 [Final],CCEA,GCSE, Business Studies 1 (Higher  ,G1203,1h 30m ,26 May 2009, Tuesday pm  
Summer 2009 [Final],CCEA,GCE, Business Studies A2 2  ,A2T21,1h 40m ,26 May 2009, Tuesday pm  
Summer 2009 [Final],CCEA,GCSE, Business Studies 1 (Foundation  ,G1201,1h 30m ,26 May 2009, Tuesday pm  
Summer 2009 [Final],CCEA,GCE, Business Studies A2 3E  ,A2T51,1h 40m ,28 May 2009, Thursday am  
Summer 2009 [Final],CCEA,GCSE, Business Studies 2 (Higher  ,G1204,2h 00m ,29 May 2009, Friday am  
Summer 2009 [Final],CCEA,GCSE, Business Studies 2 (Foundation  ,G1202,2h 00m ,29 May 2009, Friday am  
Summer 2009 [Final],Edexcel,GCE, BUSINESS STUDIES MANAGING THE BUSINESS  ,6BS02,1h 15m ,2 June 2009, Tuesday am  
Summer 2009 [Final],WJEC,GCSE, Business Studies Theory Foundation  ,12201,2h     ,9 June 2009, Tuesday pm  
January 2012 [Final],OCR,GCSE, ELBS: Unit 1 Plant Cultivation:Foundation Tier (CBT)  ,B491/01,0h 45m ,26 January 2012, Thursday am  
January 2012 [Final],OCR,GCSE, ELBS: Unit 1 Plant Cultivation:Higher Tier (CBT)  ,B491/02,0h 45m ,26 January 2012, Thursday am  
January 2012 [Final],OCR,GCSE, ELBS: Unit 2 Amenity Horticulture:Foundation Tier (CBT)  ,B492/01,0h 45m ,30 January 2012, Monday pm  
January 2012 [Final],OCR,GCSE, ELBS: Unit 2 Amenity Horticulture:Higher Tier (CBT)  ,B492/02,0h 45m ,30 January 2012, Monday pm  
January 2012 [Final],OCR,GCSE, ELBS: Unit 3 Management of the Natural Environment:Foundation Tier (CBT)  ,B493/01,0h 45m ,31 January 2012, Tuesday am  
January 2012 [Final],OCR,GCSE, ELBS: Unit 3 Management of the Natural Environment:Higher Tier (CBT)  ,B493/02,0h 45m ,31 January 2012, Tuesday am  
January 2012 [Final],OCR,GCSE, ELBS: Unit 4 Care of Animals:Foundation Tier (CBT)  ,B494/01,0h 45m ,1 February 2012, Wednesday pm  
January 2012 [Final],OCR,GCSE, ELBS: Unit 4 Care of Animals:Higher Tier (CBT)  ,B494/02,0h 45m ,1 February 2012, Wednesday pm  
January 2012 [Final],OCR,GCSE, ELBS: Unit 5 Livestock Husbandry:Higher Tier (CBT)  ,B495/02,0h 45m ,2 February 2012, Thursday am  
January 2012 [Final],OCR,GCSE, ELBS: Unit 5 Livestock Husbandry:Foundation Tier (CBT)  ,B495/01,0h 45m ,2 February 2012, Thursday am  
Summer 2009 [Final],AQA,GCE, History of Art 2 Written  ,HOA2,1h 00m ,19 May 2009, Tuesday am  
Summer 2009 [Final],AQA,GCE, History of Art 3 Written  ,HOA3,1h 00m ,19 May 2009, Tuesday am  
Summer 2009 [Final],AQA,GCE, History of Art 1 Written  ,HOA1,1h 00m ,19 May 2009, Tuesday am  
Summer 2009 [Final],AQA,GCE, History of Art 5 Written  ,HOA5,2h 00m ,4 June 2009, Thursday pm  
Summer 2009 [Final],AQA,GCE, History of Art 6 Written  ,HOA6,2h 00m ,9 June 2009, Tuesday am  
January 2009 [Final],AQA,GCE, Environmental Science 3 Written  ,ESC3,1h 00m ,14 January 2009, Wednesday am  
January 2009 [Final],AQA,GCE, Environmental Science 1 Written  ,ESC1,1h 00m ,14 January 2009, Wednesday am  
January 2009 [Final],AQA,GCE, Environmental Science 2 Written  ,ESC2,1h 00m ,14 January 2009, Wednesday am  
Summer 2010 [Final],AQA,GCE, Mathematics - Decision 1  ,MD01,1h 30m ,9 June 2010, Wednesday pm  
Summer 2010 [Final],Edexcel,GCE, MATHEMATICS CORE MATHEMATICS C2  ,6664 01,1h 30m ,9 June 2010, Wednesday pm  
Summer 2010 [Final],AQA,GCE, Mathematics - Mechanics 1B  ,MM1B,1h 30m ,9 June 2010, Wednesday pm  
Summer 2010 [Final],OCR,GCE, Mathematics:Core Mathematics 3:Written Paper  ,4723/01,1h 30m ,9 June 2010, Wednesday pm  
Summer 2010 [Final],WJEC,GCE, Mathematics C3  ,97501,1h 30m ,9 June 2010, Wednesday pm  
Summer 2010 [Final],AQA,GCE, Mathematics - Mechanics 1A/W  ,MM1A/W,1h 15m ,9 June 2010, Wednesday pm  
Summer 2010 [Final],Edexcel,GCSE, MATHEMATICS UNIT TEST (LINEAR) 2F  ,1380F 01,1h 30m ,11 June 2010, Friday am  
Summer 2010 [Final],WJEC,GCSE, Mathematics 2 Foundation  ,18508,2h     ,11 June 2010, Friday am  
Summer 2010 [Final],AQA,GCSE, Mathematics A 2 (Calculator)  ,4306/2H,2h     ,11 June 2010, Friday am  
Summer 2010 [Final],OCR,GCSE, Mathematics B (MEI): Foundation Paper 2 (Terminal):Written Paper  ,B292/01,2h 00m ,11 June 2010, Friday am  
Summer 2012 [Final],AQA,GCSE, Religious Studies A Unit 3  ,405003,1h 30m ,15 May 2012, Tuesday pm  
Summer 2012 [Final],AQA,GCSE, Religious Studies A Unit 1  ,405001,1h 30m ,15 May 2012, Tuesday pm  
Summer 2012 [Final],AQA,GCSE, Religious Studies A Unit 7  ,405007,1h 30m ,17 May 2012, Thursday pm  
Summer 2012 [Final],AQA,GCSE, Religious Studies A Unit 10  ,405010,1h 30m ,17 May 2012, Thursday pm  
Summer 2012 [Final],AQA,GCSE, Religious Studies A Unit 4  ,405004,1h 30m ,23 May 2012, Wednesday am  
Summer 2012 [Final],AQA,GCSE, Religious Studies A Unit 2  ,405002,1h 30m ,23 May 2012, Wednesday am  
Summer 2012 [Final],AQA,GCSE, Religious Studies A Unit 5  ,405005,1h 30m ,31 May 2012, Thursday pm  
Summer 2012 [Final],AQA,GCSE, Religious Studies A Unit 6  ,405006,1h 30m ,31 May 2012, Thursday pm  
Summer 2012 [Final],AQA,GCSE, Religious Studies A Unit 11  ,405011,1h 30m ,11 June 2012, Monday am  
Summer 2012 [Final],AQA,GCSE, Religious Studies A Unit 8  ,405008,1h 30m ,11 June 2012, Monday am  
January 2009 [Final],OCR,GCE, Geography:Issues in the Environment:Written Paper  ,2691/01,2h 00m ,23 January 2009, Friday pm  
January 2009 [Final],WJEC,GCE, Geography GG4 (Legacy)  ,044401,1h 30m ,23 January 2009, Friday pm  
January 2009 [Final],Edexcel,GCE, GEOGRAPHY PHYSICAL SYSTEMS  ,6464 01,1h 30m ,23 January 2009, Friday pm  
January 2009 [Final],CCEA,GCE, Geography AS 2  ,AG121,1h 30m ,23 January 2009, Friday pm  
January 2009 [Final],Edexcel,GCE, GEOGRAPHY GLOBAL CHALLENGE  ,6474 01,2h 00m ,23 January 2009, Friday pm  
January 2009 [Final],CCEA,GCE, Geography AS 2  ,ASG21,1h 00m ,23 January 2009, Friday pm  
January 2009 [Final],AQA,GCE, Geography B 5 Written    ,GGB5,1h 30m ,23 January 2009, Friday pm  
January 2009 [Final],AQA,GCE, Geography A 4 Written  ,GGA4,1h 30m ,23 January 2009, Friday pm  
January 2009 [Final],OCR,GCE, Geography:Options in Physical and Human Geography:Written Paper  ,2683/01,1h 30m ,23 January 2009, Friday pm  
Summer 2013 [Provisional],AQA,GCSE, Health and Social Care (Double Award) Unit 1  ,48201,1h 15m ,17 June 2013, Monday pm  
Summer 2013 [Provisional],AQA,GCSE, Health and Social Care (Double Award) Unit 3  ,48203,1h 15m ,25 June 2013, Tuesday am  
Summer 2009 [Final],AQA,GCE, Philosophy 1 (New Specification) Written  ,PHIL1,1h 30m ,22 May 2009, Friday pm  
Summer 2009 [Final],AQA,GCE, Philosophy 2 (New Specification) Written  ,PHIL2,1h 30m ,2 June 2009, Tuesday am  
January 2013 [Provisional],AQA,GCE, English Literature A 1  ,LTA1B,2h     ,18 January 2013, Friday am  
January 2013 [Provisional],AQA,GCE, English Literature A 1  ,LTA1C,2h     ,18 January 2013, Friday am  
January 2013 [Provisional],AQA,GCE, English Literature A 1    ,LTA1A,2h     ,18 January 2013, Friday am  
January 2013 [Provisional],AQA,GCE, English Literature A 3  ,LITA3,2h 30m ,24 January 2013, Thursday am  
Summer 2009 [Final],AQA,GCE, Archaeology 1 (New Specification) Written  ,ARCH1,1h 15m ,2 June 2009, Tuesday am  
Summer 2009 [Final],AQA,GCE, Archaeology 2 (New Specification) Written  ,ARCH2,1h 45m ,9 June 2009, Tuesday am  
January 2013 [Provisional],WJEC,GCE, Mathematics FP1  ,097701,1h 30m ,30 January 2013, Wednesday am  
January 2011 [Final],OCR,GCSE, Design and Technology:Product Design:Designing Influences:Written Paper  ,A554/01,1h 30m ,13 January 2011, Thursday pm  
January 2010 [Final],CCEA,GCE, History A2 3  ,A2H31,1h 30m ,28 January 2010, Thursday pm  
January 2010 [Final],CCEA,GCE, History AS 2  ,AH121,1h 30m ,28 January 2010, Thursday pm  
January 2010 [Final],Edexcel,GCE, HISTORY THE SOVIET UNION 1924-41  ,6526 6F,1h 45m ,28 January 2010, Thursday pm  
January 2010 [Final],OCR,GCE, History:Historical Themes:Medieval and Early Modern 1066-1715  ,F966/01,2h 00m ,28 January 2010, Thursday pm  
January 2010 [Final],Edexcel,GCE, HISTORY THE LIBERAL PARTY  ,6526 6D,1h 45m ,28 January 2010, Thursday pm  
January 2010 [Final],Edexcel,GCE, HISTORY THE TUDOR STATE 1547-58  ,6526 6A,1h 45m ,28 January 2010, Thursday pm  
January 2010 [Final],Edexcel,GCE, HISTORY THE CHARTIST EXPERIENCE  ,6526 6C,1h 45m ,28 January 2010, Thursday pm  
January 2010 [Final],Edexcel,GCE, HISTORY HITLER AND THE NAZI STATE  ,6526 6E,1h 45m ,28 January 2010, Thursday pm  
January 2010 [Final],Edexcel,GCE, HISTORY THE COLD WAR 1945-62  ,6526 6G,1h 45m ,28 January 2010, Thursday pm  
January 2010 [Final],OCR,GCE, History:Historical Themes:Modern 1789-1997  ,F966/02,2h 00m ,28 January 2010, Thursday pm  
Summer 2009 [Final],CCEA,GCSE, GCSE Business Studies B Found  ,G3701,2h 00m ,9 June 2009, Tuesday pm  
Summer 2009 [Final],AQA,GCSE, Business Studies B Written  ,3133/9/2F,1h 00m ,9 June 2009, Tuesday pm  
Summer 2009 [Final],AQA,GCSE, Business Studies (Short Course) Written  ,3133/9/2H,1h 00m ,9 June 2009, Tuesday pm  
Summer 2009 [Final],Edexcel,GCSE, BUSINESS STUDIES HIGHER PAPER  ,1503 02,2h 00m ,9 June 2009, Tuesday pm  
Summer 2009 [Final],OCR,GCSE, Business Studies A:Paper 1 (Foundation)  ,1051/01,1h 30m ,9 June 2009, Tuesday pm  
Summer 2009 [Final],Edexcel,GCSE, BUSINESS STUDIES FOUNDATION PAPER  ,3503 01,1h 30m ,9 June 2009, Tuesday pm  
